TB patients with known HIV status (%),Tested TB patients HIV-positive (%),HIV-positive TB patients on ART (antiretroviral therapy) (%),Estimated number of MDR/RR-TB incident cases,Confirmed cases of RR-/MDR-TB,Number of incident tuberculosis cases,Incidence of tuberculosis (per 100 000 population per year),"Number of incident tuberculosis cases,  (HIV-positive cases)",Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),"Number of deaths due to tuberculosis, excluding HIV",Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"New or unknown treatment history cases: Pulmonary, bacteriologically confirmed","New or unknown treatment history cases: Pulmonary, clinically diagnosed","New cases: Pulmonary, smear-negative/unknown/not done and other new cases",Relapse cases: extrapulmonary,Treatment success rate: previously treated TB cases,Treatment success rate: HIV-positive TB cases,Treatment success rate for patients treated for MDR-TB (%),Treatment success rate: XDR-TB cases
89.6042105263158,9.204,100.0,3330.6597402597404,76.4175,260.90909090909093,66.68181818181819,1.7272727272727273,0.42863636363636365,19.181818181818183,4.5,25277.84113865932,24332.632231404958,8895.856493506493,104.26659856996935,77.72980033588355,74.39376538146021,60.46525455221108,45.69047619047619
64.22631578947369,9.336842105263159,70.8125,3789.4597402597406,154.68416666666664,60545.454545454544,428.54545454545456,3873.6363636363635,28.727272727272727,3245.4545454545455,21.272727272727273,29568.386593204774,27912.04132231405,12387.583766233765,135.90296220633297,85.53136348629911,71.23222060957912,68.87606837606837,48.4065934065934
16.110625,22.1375,36.92307692307692,15263.459740259741,3482.2174999999997,835318.1818181818,342.0,17977.272727272728,7.2,100090.90909090909,38.90909090909091,108145.25022956841,90644.45041322314,58350.72012987013,252.13278855975486,72.02426543413668,67.61175616835995,59.39250493096647,41.52838827838828
56.80625,14.20625,73.2,2945.5324675324673,115.86634615384615,14000.0,224.27272727272728,570.0,8.813636363636364,3045.4545454545455,45.18181818181818,26685.704775022958,24924.76859504132,9139.038311688311,112.15423901940757,73.3076923076923,70.50725689404935,66.6397107166338,43.93315018315018
86.0,8.272222222222222,32.76,3882.9335370511844,171.52941176470588,23636.363636363636,81.0,1777.2727272727273,6.236363636363635,1500.0,4.836363636363637,31018.75022956841,26462.723140495866,11691.856493506493,164.77795612627074,56.6990110095167,61.8129614438064,52.17056856187291,39.179089026915115
39.68,16.235294117647058,53.976470588235294,7874.742694805195,1875.3125,227500.0,461.8181818181818,23409.090909090908,48.04545454545455,31000.0,60.54545454545455,42430.795684113866,49002.17768595042,32000.311038961037,276.108784473953,72.92307692307692,69.4499274310595,69.1232741617357,49.55769230769231
14.127333333333333,0.7815384615384615,84.125,12025.874713521773,3563.9411764705883,527818.1818181818,551.3636363636364,4906.363636363636,4.679545454545455,28090.909090909092,26.90909090909091,68458.02295684115,92842.4049586777,44710.03831168831,215.13643659711076,72.37339055793991,68.98258345428157,58.56837606837607,44.52838827838828
84.53846153846153,2.4015384615384616,67.6500344214609,3690.227654698243,14.294117647058824,2140.909090909091,41.86363636363637,80.81818181818181,1.7118181818181817,53.0,0.9527272727272728,25658.477502295686,24611.223140495866,9295.083766233765,112.26659856996935,74.9615522174535,77.15408805031447,63.478988603988604,48.132936507936506
80.1875,13.7625,62.0,4464.850649350649,857.6803571428571,128090.90909090909,189.3181818181818,23318.18181818182,34.81818181818182,9518.181818181818,13.727272727272727,40303.84113865932,33758.26859504132,19322.765584415585,229.9269662921348,63.40888081875206,70.11756168359942,62.70282708744248,49.01923076923077
47.98285714285714,10.135384615384615,96.84615384615384,3150.3506493506497,6.428571428571429,5550.0,496.15,56.4,4.955,1015.4545454545455,83.9090909090909,23233.635832004253,22261.344497607653,11314.886466165413,102.93731519810763,82.40162638355545,75.17576961271102,66.08996851102115,45.69047619047619
53.672222222222224,8.064705882352941,65.85714285714286,7435.686313686314,2043.1538461538462,200272.72727272726,229.86363636363637,10436.363636363636,12.05,13272.727272727272,14.518181818181818,45784.704775022954,33566.17768595041,19848.40194805195,216.61133810010216,81.48580389567513,71.75471698113208,67.04635108481263,46.36538461538461
